name	date published	abn	client of
Amgen Australia Pty Ltd	7 July 2023	31 051 057 428	Precision Public Affairs Pty Ltd | 42 639 299 415
AML Oceanographic	8 February 2022		Seismic Asia Pacific Pty Ltd | 31 083 755 104
AMOVEO (Modular Manufacturer of Affordable Housing)	12 October 2018	84 162 244 368	Andrew Mihno | 22 117 516 090
AMP	15 February 2023	85 638 610 034	Sports Hydrant Pty Ltd | 91 133 062 012
AMP Limited	25 February 2014		Barton Deakin Pty Ltd | 65 140 067 287
AMP Limited	1 March 2010		Hawker Britton Group Pty Ltd | 79 109 681 405
AMPD Energy	16 September 2024		PORTOLESI, GRAZIELLA | 61 314 646 073
AMPLIFY-NOW PTY LTD	18 July 2022	80 129 375 382	Public Affairs and Campaigns Australia Pty Ltd | 62 632 061 226
AMPOL AUSTRALIA PETROLEUM PTY LTD	15 March 2022	17 000 032 128	Northstar Public Affairs Pty Ltd | 25 638 744 046
Ampol Ltd	15 February 2023	40 004 201 307	Sports Hydrant Pty Ltd | 91 133 062 012
Analytica	8 July 2018		Media and Public Affairs Australia | 49 622 979 177
AND Health	15 November 2023	32 617 835 542	CPR Communications & Public Relations Pty Ltd | 94 064 357 544
Anglican Community Services	15 June 2022	39 922 848 563	Capitol Research Pty Ltd | 59 001 715 135
Angus Knight Group	28 June 2023	58 076 749 605	GRA Partners Pty Ltd | 56 131 702 755
Angus Knight Pty Limited	5 October 2021	58 076 749 605	BB Win Win Outcomes | 91 671 079 056
ANIMAL MEDICINES AUSTRALIA LIMITED	3 September 2024	76 116 948 344	Counsel House Pty Ltd | 35 631 919 009
Anindilyakwa Land Council	21 October 2011		Diplomacy Pty Limited | 17 148 998 645
Annalise-AI Pty Ltd	7 October 2022	92 635 645 260	Kirchmann Management Consultants Pty Ltd | 34 837 287 161
ANNSCA Energy Pty Ltd	19 August 2020	41 601 193 284	DPG Advisory Solutions | 14 634 403 115
ANNSCA Energy Pty Ltd	6 September 2018		SA Milgate and Associates, Pty, Ltd | 54 078 858 401
Antony Kidman Foundation	24 July 2024	73 001 286 399	GRACosway Pty Ltd | 50 082 123 822
ANVAM (Australian National Veterans Arts Museum)	21 February 2022	13 605 494 291	Precision Public Affairs Pty Ltd | 42 639 299 415
APA Group	19 April 2023	99 091 344 704	Insight Strategy | 47 609 028 015
APELLIS AUSTRALIA PTY LTD	14 February 2024	87 600 316 612	OGILVY HEALTH PTY LTD | 62 114 807 877
Apex Logic Pty Ltd	26 September 2024	64 629 777 591	Indo Pacific Advisory Pty Ltd | 78 669 769 859
ApoPharma Inc.	17 September 2018		Kirchmann Management Consultants Pty Ltd | 34 837 287 161
Appeggio.com Holdings PTY LTD	13 February 2023	48 638 339 581	Sapphire Executive Business Services | 17 661 600 504
APPLE PTY LIMITED	31 October 2024	46 002 510 054	L Ivanovski and GA Richardson | 25 268 973 694
Apple Pty Ltd	2 February 2015		Hawker Britton Group Pty Ltd | 79 109 681 405
Applecross Foreshore Protection Group	8 July 2021		Coode Holdings Pty Ltd | 81 623 654 839
Aqua Security	19 January 2024	33 657 209 268	Capital Integrity Group Pty Ltd | 99 649 180 898
Aquaterro	22 March 2023		FA McLachlan Consulting | 30 537 339 018
Aquna - Murray Cod Australia	4 July 2022	74 143 928 625	Media and Public Affairs Australia | 49 622 979 177
AQUOR Pty Ltd	20 March 2024	92 617 377 394	MT Engagement Pty Ltd | 89 664 355 702
Arafura Rare Earths	19 April 2024	22 080 933 455	GRA Partners Pty Ltd | 56 131 702 755
Arca Climate Technologies Inc	13 August 2024		Horizon GR Pty Ltd | 72 652 169 170
Argenx Australia Pty Ltd	13 May 2024		Shawview Consulting Australia Pty Ltd | 90 637 759 874
Arianespace	28 January 2019		Pynfall Pty Ltd | 39 008 566 943
Arican Pty Ltd	20 September 2022	12 633 279 786	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Arjo Australia Pty Ltd	4 December 2024	75 007 200 900	The Civic Partnership Pty Ltd | 71 652 574 171
