member_group,group,start_date,evidence
Appeggio.com Holdings PTY LTD,Sapphire Executive Business Services,2023-02-13,https://lobbyists.ag.gov.au/register
APPLE PTY LIMITED,L Ivanovski and GA Richardson,2024-10-31,https://lobbyists.ag.gov.au/register
Apple Pty Ltd,Hawker Britton Group Pty Ltd,2015-02-02,https://lobbyists.ag.gov.au/register
Applecross Foreshore Protection Group,Coode Holdings Pty Ltd,2021-07-08,https://lobbyists.ag.gov.au/register
Aqua Security,Capital Integrity Group Pty Ltd,2024-01-19,https://lobbyists.ag.gov.au/register
Aquaterro,FA McLachlan Consulting,2023-03-22,https://lobbyists.ag.gov.au/register
Aquna - Murray Cod Australia,Media and Public Affairs Australia,2022-07-04,https://lobbyists.ag.gov.au/register
AQUOR Pty Ltd,MT Engagement Pty Ltd,2024-03-20,https://lobbyists.ag.gov.au/register
Arafura Rare Earths,GRA Partners Pty Ltd,2024-04-19,https://lobbyists.ag.gov.au/register
Arca Climate Technologies Inc,Horizon GR Pty Ltd,2024-08-13,https://lobbyists.ag.gov.au/register
Argenx Australia Pty Ltd,Shawview Consulting Australia Pty Ltd,2024-05-13,https://lobbyists.ag.gov.au/register
Arianespace,Pynfall Pty Ltd,2019-01-28,https://lobbyists.ag.gov.au/register
Arican Pty Ltd,PYNE AND PARTNERS PTY LTD,2022-09-20,https://lobbyists.ag.gov.au/register
Arjo Australia Pty Ltd,The Civic Partnership Pty Ltd,2024-12-04,https://lobbyists.ag.gov.au/register
Ark Energy Corporation Pty Ltd,Anacta Strategies Pty Ltd,2024-09-18,https://lobbyists.ag.gov.au/register
ARK ENERGY CORPORATION PTY LTD,The Trustee for Popp Family Trust,2024-12-24,https://lobbyists.ag.gov.au/register
Armstrong Legal,Media and Public Affairs Australia,2018-07-08,https://lobbyists.ag.gov.au/register
ARNOTT'S BISCUITS LIMITED,GRACosway Pty Ltd,2022-11-04,https://lobbyists.ag.gov.au/register
AROSE PTY LTD,SEC Newgate Pty Limited,2024-07-26,https://lobbyists.ag.gov.au/register
Arrotex Pty Ltd,Jannette Cotterell,2020-01-02,https://lobbyists.ag.gov.au/register
ARTEC,Paramul Pty Ltd,2012-03-07,https://lobbyists.ag.gov.au/register
Arteri Pty Ltd,Australian Corporate Advisory Pty Ltd,2024-02-26,https://lobbyists.ag.gov.au/register
Arthur Phillip Pty Ltd,JPG Advisory,2024-05-16,https://lobbyists.ag.gov.au/register
Artificial Intelligence and Health Accreditation Pty Ltd,EJF Advisory Pty Ltd,2023-11-13,https://lobbyists.ag.gov.au/register
Arundel Estate Developments,PYNE AND PARTNERS PTY LTD,2024-11-05,https://lobbyists.ag.gov.au/register
Arup Australia Services Pty Ltd,LINDSAY COMMUNICATION PTY LTD,2022-10-07,https://lobbyists.ag.gov.au/register
ASAC Consultancy Pty Ltd,Banksia Strategic Partners Pty Ltd,2024-01-18,https://lobbyists.ag.gov.au/register
ASE Group,BB Win Win Outcomes,2022-06-27,https://lobbyists.ag.gov.au/register
ASGP Limited,Cornerstone Group Australia Pty Ltd,2022-10-21,https://lobbyists.ag.gov.au/register
Ashurst,Richardson Coutts Pty Ltd,2022-08-09,https://lobbyists.ag.gov.au/register
Asia Natural Gas and Energy Association,"WAWN, DAVID ROYLE",2024-10-15,https://lobbyists.ag.gov.au/register
Asian Network for Free Elections (ANFREL),Walter William Secord,2024-07-03,https://lobbyists.ag.gov.au/register
AsiaSpace Ltd,Comsult(Aust) Pty Ltd,2012-05-04,https://lobbyists.ag.gov.au/register
Aspen Medical Pty Ltd,Nexus APAC Pty Ltd,2019-04-30,https://lobbyists.ag.gov.au/register
Aspire 4 Life Ltd,H/Advisors APA Pty Ltd,2021-05-04,https://lobbyists.ag.gov.au/register
Asset Energy Pty Ltd,H/Advisors APA Pty Ltd,2021-08-10,https://lobbyists.ag.gov.au/register
Associazione Sportivo Australia (ASA),The Premier Communications Group Pty Ltd.,2014-03-17,https://lobbyists.ag.gov.au/register
"ASTRALite, Inc.",Seismic Asia Pacific Pty Ltd,2022-02-08,https://lobbyists.ag.gov.au/register
AstraZeneca Pty Ltd,Nexus APAC Pty Ltd,2023-04-27,https://lobbyists.ag.gov.au/register
ASX Limited,TSB Advisory Pty Ltd,2023-12-21,https://lobbyists.ag.gov.au/register
Atomic Oncology,Forsius Technology Consulting,2023-07-05,https://lobbyists.ag.gov.au/register
Atomo Diagnostics,Media and Public Affairs Australia,2022-07-04,https://lobbyists.ag.gov.au/register
Audika Australia Pty LTD,Jannette Cotterell,2022-07-11,https://lobbyists.ag.gov.au/register
AUJS Limited,Horizon GR Pty Ltd,2024-08-28,https://lobbyists.ag.gov.au/register
Aurizn Defence Pty Ltd,PYNE AND PARTNERS PTY LTD,2023-08-22,https://lobbyists.ag.gov.au/register
Auror Australia Pty Ltd,Premier State Consulting Pty Ltd,2024-07-12,https://lobbyists.ag.gov.au/register
Auror Australia Pty Ltd,PremierNational Pty Ltd,2024-07-12,https://lobbyists.ag.gov.au/register
AusBiotech,Nexus APAC Pty Ltd,2023-09-26,https://lobbyists.ag.gov.au/register
AusBiotech Ltd. (ABN 87 006 509 726),H/Advisors APA Pty Ltd,2024-05-31,https://lobbyists.ag.gov.au/register
Auscycling Limited,Hawker Britton Group Pty Ltd,2024-07-10,https://lobbyists.ag.gov.au/register
AUSCYCLING LIMITED,Hawker Britton Group Pty Ltd,2024-11-04,https://lobbyists.ag.gov.au/register
AusEV,Crisis&Comms Co Pty Ltd,2022-08-19,https://lobbyists.ag.gov.au/register
Ausfilm International Inc,Hawker Britton Group Pty Ltd,2024-02-07,https://lobbyists.ag.gov.au/register
Ausgrid,DPG Advisory Solutions,2020-11-25,https://lobbyists.ag.gov.au/register
AusMV Pty Ltd,Crisis&Comms Co Pty Ltd,2023-03-07,https://lobbyists.ag.gov.au/register
AusNet Transmission Group Pty Ltd,RedBridge Group Pty Ltd,2022-09-13,https://lobbyists.ag.gov.au/register
Austal Limited,FTI Consulting (Australia) Pty Ltd,2019-07-04,https://lobbyists.ag.gov.au/register
Australasian College of Podiatric Surgeons,EH Advisory,2024-05-15,https://lobbyists.ag.gov.au/register
Australasian Railway Association,EJF Advisory Pty Ltd,2023-02-07,https://lobbyists.ag.gov.au/register
Australasian Sleep Association,Jannette Cotterell,2018-02-14,https://lobbyists.ag.gov.au/register
Australasian Society of Medical Perfusion,Unravelling Red Tape Pty Ltd,2023-02-03,https://lobbyists.ag.gov.au/register
Australia Africa Chamber of Commerce Inc,PRX Unit Trust,2023-06-01,https://lobbyists.ag.gov.au/register
Australia Housing Initiative,Cornerstone Group Australia Pty Ltd,2021-04-27,https://lobbyists.ag.gov.au/register
Australia New Zealand Gynaecological Oncology Group,Hawker Britton Group Pty Ltd,2024-09-27,https://lobbyists.ag.gov.au/register
Australia Pacific Airports (Launceston) Pty Limited,Font Public Relations Pty Ltd,2022-07-14,https://lobbyists.ag.gov.au/register
AUSTRALIA PACIFIC AIRPORTS (MELBOURNE) PTY LIMITED,Principle Advisory Pty Ltd,2024-07-02,https://lobbyists.ag.gov.au/register
Australia VRFB ESS Company Pty Ltd,CGM Communications Pty Ltd,2023-02-02,https://lobbyists.ag.gov.au/register
Australian Aerospace Corporation Pty Ltd,Molico Pty Ltd,2023-08-25,https://lobbyists.ag.gov.au/register
Australian Agritech Association,Diplomacy Pty Limited,2022-08-16,https://lobbyists.ag.gov.au/register
Australian Alcohol,The Influence Corporation Pty. Ltd.,2023-11-01,https://lobbyists.ag.gov.au/register
Australian Alliance for Animals Limited,PYNE AND PARTNERS PTY LTD,2024-06-06,https://lobbyists.ag.gov.au/register
AUSTRALIAN AND NEW ZEALAND ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS LIMITED,Anacta Strategies Pty Ltd,2024-11-08,https://lobbyists.ag.gov.au/register
Australian and New Zealand Society of Reproductive Endocrinology and Infertility,Anacta Strategies Pty Ltd,2024-07-24,https://lobbyists.ag.gov.au/register
Australian Association of Convenience Stores Ltd,Premier State Consulting Pty Ltd,2024-02-27,https://lobbyists.ag.gov.au/register
Australian Association of Convenience Stores Ltd,PremierNational Pty Ltd,2024-02-27,https://lobbyists.ag.gov.au/register
Australian Association of Convenience Stores Ltd,RedBridge Group Pty Ltd,2023-10-31,https://lobbyists.ag.gov.au/register
Australian Association of Convenience Stores LTD,Sapphire Executive Business Services,2024-05-30,https://lobbyists.ag.gov.au/register
Australian Brandenburg Orchestra,Brickfielder Government Engagement (BGE),2018-07-30,https://lobbyists.ag.gov.au/register
AUSTRALIAN CAPITAL EQUITY PTY LTD,Iemma Patterson Premier Advisory,2024-02-07,https://lobbyists.ag.gov.au/register
AUSTRALIAN CENTRE FOR GRIEF AND BEREAVEMENT,H/Advisors APA Pty Ltd,2024-11-05,https://lobbyists.ag.gov.au/register
Australian Childcare Alliance,Jannette Cotterell,2012-08-29,https://lobbyists.ag.gov.au/register
Australian Childcare Alliance Queensland,Jannette Cotterell,2020-05-22,https://lobbyists.ag.gov.au/register
AUSTRALIAN CLINICAL FORENSIC MEDICINE ALLIANCE PTY LTD,Precision Public Affairs Pty Ltd,2024-11-05,https://lobbyists.ag.gov.au/register
AUSTRALIAN COMMITTEE FOR UNICEF LIMITED,EJF Advisory Pty Ltd,2023-06-20,https://lobbyists.ag.gov.au/register
Australian Community Workers Association Inc,CPR Communications & Public Relations Pty Ltd,2024-08-06,https://lobbyists.ag.gov.au/register
Australian Computer Society,TG Public Affairs Pty Ltd,2023-01-17,https://lobbyists.ag.gov.au/register
Australian Computer Society Incorporated,L Ivanovski and GA Richardson,2024-11-18,https://lobbyists.ag.gov.au/register
AUSTRALIAN COUNCIL ON SMOKING & HEALTH,Essential Media Communications,2024-03-07,https://lobbyists.ag.gov.au/register
Australian Dairy Farmers' Limited,Currie Communications Pty Ltd,2023-09-06,https://lobbyists.ag.gov.au/register
AUSTRALIAN DAIRY PRODUCTS FEDERATION INC,Counsel House Pty Ltd,2022-11-22,https://lobbyists.ag.gov.au/register
Australian Data Centres - Mitchell Pty Ltd,BDAAS Consulting Pty Ltd,2021-01-19,https://lobbyists.ag.gov.au/register
Australian Data Centres - Mitchell Pty Ltd,Simplicity One Pty Ltd,2023-07-06,https://lobbyists.ag.gov.au/register
Australian Deer Association,CPI Strategic Pty Ltd,2022-10-04,https://lobbyists.ag.gov.au/register
Australian Digital Inclusion Alliance,Eloquium Group Pty Ltd,2019-07-11,https://lobbyists.ag.gov.au/register
Australian Education Union Federal,Bradley Wayne Chilcott,2023-06-21,https://lobbyists.ag.gov.au/register
Australian Electricity,The Influence Corporation Pty. Ltd.,2023-11-01,https://lobbyists.ag.gov.au/register
Australian Energy Council Limited,AKIN AGENCY PTY LTD,2024-11-20,https://lobbyists.ag.gov.au/register
AUSTRALIAN ENERGY PRODUCERS LIMITED,CMAX Communications Pty Ltd,2024-01-30,https://lobbyists.ag.gov.au/register
Australian Energy Resources Growth Centre Ltd,CGM Communications Pty Ltd,2023-02-02,https://lobbyists.ag.gov.au/register
AUSTRALIAN ENTERTAINMENT INDUSTRY ASSOCIATION,SEC Newgate Pty Limited,2024-07-15,https://lobbyists.ag.gov.au/register
Australian Entrepreneurs Alliance,Mission Consulting Solutions,2024-10-21,https://lobbyists.ag.gov.au/register
Australian Federal Police Association,Chris Hayes Consulting,2022-09-23,https://lobbyists.ag.gov.au/register
Australian Federation of Travel Agents,ALPHA Consult Pty Ltd,2020-07-08,https://lobbyists.ag.gov.au/register
Australian Federation of Ukrainian Organisations,Brockwell Strategy Pty Ltd,2024-04-12,https://lobbyists.ag.gov.au/register
Australian Federation of Ukrainian Organisations,SEC Newgate Pty Limited,2022-12-06,https://lobbyists.ag.gov.au/register
Australian Finance Group Ltd,Richardson Coutts Pty Ltd,2024-05-15,https://lobbyists.ag.gov.au/register
Australian Fishing Trade Association (AFTA),The Hon. Robert Charles Baldwin,2018-11-01,https://lobbyists.ag.gov.au/register
Australian Fresh Produce Alliance Ltd,Anacta Strategies Pty Ltd,2023-03-24,https://lobbyists.ag.gov.au/register
Australian Gas Infrastructure Group,Purple Communications Australia Pty Ltd,2020-02-13,https://lobbyists.ag.gov.au/register
Australian Gas Infrastructure Group,Spring Street Advisory Pty Ltd,2023-06-13,https://lobbyists.ag.gov.au/register
AUSTRALIAN GENERAL PRACTICE ACCREDITATION LIMITED,The Inner Circle Strategic Advisory,2024-12-19,https://lobbyists.ag.gov.au/register
AUSTRALIAN GENOME RESEARCH FACILITY LIMITED,Shawview Consulting Australia Pty Ltd,2024-12-11,https://lobbyists.ag.gov.au/register
AUSTRALIAN GENOMIC CANCER MEDICINE CENTRE LTD trading as Omico,TSB Advisory Pty Ltd,2022-10-26,https://lobbyists.ag.gov.au/register
Australian Geoscience Council Inc,Leisure Solutions Pty Ltd,2019-01-17,https://lobbyists.ag.gov.au/register
Australian Government Department of Defence,Mr John Kindler,2020-06-05,https://lobbyists.ag.gov.au/register
Australian Health Research Alliance,Jannette Cotterell,2018-09-12,https://lobbyists.ag.gov.au/register
Australian Hide Skin and Leather Exporters Association,Daymark Public Relations Pty Ltd,2021-07-05,https://lobbyists.ag.gov.au/register
Australian Home Child Care Association,Fowlstone Communications Pty Ltd,2018-11-15,https://lobbyists.ag.gov.au/register
Australian Hotels Association (AHA),Capetal Advisory Pty Ltd,2024-08-05,https://lobbyists.ag.gov.au/register
Australian Hotels Association (NSW),Premier State Consulting Pty Ltd,2012-08-29,https://lobbyists.ag.gov.au/register
